,Gen_0,Gen_50,Gen_100,Gen_150,Gen_200,Gen_250,Gen_300,Gen_350,Gen_400,Gen_450,Gen_500,Gen_550,Gen_600,Gen_650,Gen_700,Gen_750,Gen_800,Gen_850,Gen_900,Gen_950,Gen_1000,Gen_1050,Gen_1100,Gen_1150,Gen_1200,Gen_1250,Gen_1300,Gen_1350,Gen_1400,Gen_1450,Gen_1500,Gen_1550,Gen_1600,Gen_1650,Gen_1700,Gen_1750,Gen_1800,Gen_1850,Gen_1900,Gen_1950
Run_1,97.14284,54.62123,47.00654,42.669315,40.22215,38.31563,37.521877,36.467495,35.462036,34.70791,34.0375,33.531048,33.19571,32.645412,32.387436,32.210003,31.845066,31.845066,31.845066,31.537786,31.450289,31.201435,31.201435,31.02555,30.951714,30.674135,30.57402,30.401865,30.13576,30.037842,30.037842,29.953857,29.735956,29.63838,29.537323,29.476734,29.438852,29.42499,29.228384,29.167582
Run_2,100.05513,52.752857,44.164722,41.549534,39.944603,38.76725,37.365463,36.268787,35.30126,34.652554,34.08784,33.79507,33.5104,33.321278,32.985703,32.95127,32.73857,32.679432,32.49335,32.361996,32.17934,32.09482,31.923656,31.768099,31.540264,31.414879,31.314102,31.305227,31.305227,31.123646,31.077904,31.015955,30.919672,30.919672,30.76448,30.69986,30.509668,30.381622,30.34892,30.278923
Run_3,101.00545,54.14855,45.388264,40.428703,38.067894,36.675148,35.251957,35.062325,34.581486,34.18043,33.558678,33.319813,33.026497,32.65599,32.33168,32.06547,31.774181,31.673908,31.673908,31.300121,30.994781,30.83362,30.800879,30.800879,30.800879,30.601646,30.385025,30.277866,30.220823,30.057314,30.019947,29.982815,29.944078,29.897387,29.897387,29.897387,29.897387,29.897387,29.897387,29.897387
Run_4,99.03214,52.861507,44.74186,41.521248,39.83038,37.92038,37.20714,36.74259,35.9844,35.500374,35.04153,34.51839,34.130478,33.821033,33.76045,33.468414,33.468414,33.421635,33.33572,33.10394,33.102386,32.80579,32.606983,32.606983,32.448383,32.380497,32.316677,32.192696,32.106598,31.968307,31.968307,31.968307,31.968307,31.968307,31.78344,31.765999,31.765999,31.765999,31.765999,31.765999
Run_5,100.6908,52.015385,46.6868,43.971237,42.25683,40.340633,39.008163,37.778187,37.228313,36.824,36.63505,36.411846,35.985714,35.68086,35.395836,34.869495,34.417152,34.13322,33.93813,33.738873,33.667015,33.631912,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.404892,33.258083,33.196922,33.14171,32.825172,32.809826,32.744118,32.744118
Run_6,98.8144,53.053436,46.9768,43.02133,40.57752,39.695564,39.099762,38.38006,37.6817,37.216393,36.693806,35.926933,35.284252,34.978313,34.755848,34.322636,34.10875,33.549084,33.133,33.10303,32.83663,32.61917,32.498608,32.498608,32.37174,31.994522,31.880663,31.810232,31.781511,31.700613,31.700613,31.689138,31.500744,31.500744,31.500744,31.500744,31.500744,31.500744,31.500744,31.500744
Run_7,97.82786,52.664257,46.367718,42.182842,38.629246,37.91789,36.414864,35.34535,34.606277,33.90369,33.350048,32.918293,32.651337,32.02333,31.73561,31.597399,31.597399,31.426563,31.135504,31.104027,30.89549,30.766846,30.70004,30.562021,30.31648,30.31648,30.31648,30.31648,30.31648,30.31648,30.31648,29.89309,29.756666,29.65646,29.456692,29.413887,29.071701,28.946787,28.946787,28.946787
Run_8,99.81735,52.22594,45.162098,41.240303,39.907932,38.244198,36.789925,35.512997,35.034946,34.58894,34.247585,33.67437,33.188175,32.979057,32.832893,32.70563,32.69148,32.54628,32.450638,32.264797,32.16471,32.05037,32.034508,31.968086,31.787762,31.616648,31.57417,31.52965,31.52447,31.52447,31.52447,31.52447,31.349924,31.338135,31.203798,31.186516,31.186516,31.186516,31.186516,31.186516
Run_9,100.698845,54.73432,48.272022,43.839134,40.207127,38.466022,37.68691,37.071762,36.284046,35.84273,35.60374,35.395638,34.805687,34.545223,34.404587,33.919697,33.419735,32.966286,32.7757,32.394722,32.055992,32.042072,31.656275,31.435986,31.435986,31.234362,31.105347,31.04559,31.04559,30.954578,30.689201,30.570982,30.315907,30.151949,30.024527,29.972683,29.972683,29.916193,29.916193,29.916193
Run_10,99.45789,52.532223,46.580757,44.616993,42.662827,40.939686,39.271954,37.14015,35.98552,35.62615,35.139606,34.487312,34.133358,34.04362,33.98982,33.808495,33.596924,33.13311,32.867714,32.51772,32.293194,31.96956,31.743853,31.649618,31.467382,31.37949,31.357847,31.357847,31.200237,31.153433,31.153433,31.153433,31.043205,30.971537,30.733576,30.733576,30.733576,30.733576,30.635704,30.521881
Run_11,100.00975,52.638256,45.36617,41.34307,40.12433,39.069202,38.052944,37.00754,36.292667,36.082134,35.577274,35.1909,34.83983,34.599182,34.454006,34.397926,34.178825,33.954517,33.82966,33.729107,33.670345,33.5109,33.19907,33.05538,33.0473,33.0473,32.853863,32.802074,32.769543,32.71506,32.62139,32.510967,32.4941,32.4099,32.4099,32.4099,32.4099,32.4099,32.4099,32.4099
Run_12,100.31076,50.264286,44.45956,40.65391,40.125164,38.90613,37.89991,36.93849,36.526894,35.86434,35.634724,35.107742,34.549503,34.18634,33.957886,33.746243,33.323864,33.028137,32.824417,32.68492,32.68492,32.68492,32.68492,32.29411,31.959698,31.844704,31.844704,31.738325,31.561436,31.484676,31.331957,31.331957,30.560816,30.4761,30.4761,30.4761,30.4761,30.4761,30.09588,30.052168
Run_13,99.59924,51.563187,44.679764,40.099854,38.222763,37.724884,36.882282,36.30445,35.6496,35.44124,34.739677,34.58138,34.23226,33.916294,33.547714,33.323093,33.323093,33.323093,33.219643,33.003376,32.872623,32.872623,32.872623,32.756847,32.75656,32.67164,32.581318,32.581,32.430958,32.37086,32.37086,32.33413,32.170227,32.009624,31.868593,31.76468,31.696777,31.620996,31.620996,31.620996
Run_14,97.74991,50.005524,44.23,39.740578,37.47186,36.203987,35.513695,34.646683,33.65959,33.3391,33.149174,33.011707,32.519424,32.033363,31.772669,31.182861,31.163925,30.982122,30.824598,30.429195,30.409332,30.04879,29.877634,29.747488,29.692518,29.653507,29.311668,29.311668,29.311668,29.302694,29.265434,29.106905,28.974447,28.915585,28.900297,28.900297,28.770153,28.647676,28.588217,28.588217
Run_15,98.88447,52.56114,45.86695,44.260643,41.506214,39.897175,38.57453,37.440887,36.366947,35.63288,34.800114,34.43551,33.53549,33.206467,32.92489,32.284615,32.066605,31.894434,31.33386,31.098293,30.981415,30.824493,30.567873,30.567873,30.46756,30.46756,30.371534,30.146086,30.096188,30.096188,30.096188,30.096188,30.096188,30.096188,30.096188,30.096188,30.096188,29.504417,29.377518,29.377518
Run_16,98.52352,54.035126,46.89125,43.384964,40.996014,39.41973,38.62302,38.064995,37.640133,37.05212,36.43585,35.82274,35.39699,35.26048,35.07624,34.88246,34.560722,34.18312,34.10469,33.973915,33.942566,33.857635,33.75937,33.698315,33.475582,33.475582,33.427307,33.397896,33.386868,33.343426,33.22269,32.935272,32.726105,32.638603,32.582214,32.537178,32.394268,32.331413,32.331413,32.331413
Run_17,99.493324,52.160442,47.6466,45.43868,44.342094,42.919895,41.81886,40.050674,38.642136,37.647038,36.6864,35.901917,35.4791,35.027176,34.579933,34.188667,33.992287,33.7827,33.662598,33.489807,33.33782,33.161556,32.875553,32.673527,32.337208,32.11559,32.050068,31.896296,31.79422,31.567587,31.398565,31.398565,31.32801,31.147387,31.045185,30.97633,30.97633,30.97633,30.97633,30.97633
Run_18,100.631134,53.97392,46.83032,44.099655,42.123814,40.169464,39.89469,39.370415,38.680027,38.210964,37.737404,37.024364,36.66511,36.560116,36.271748,35.750412,35.45017,35.289673,35.12123,34.97305,34.67963,34.119453,33.689255,33.346832,33.150005,33.029793,32.90125,32.66968,32.545765,32.297947,32.293083,32.293083,32.02091,31.83214,31.818815,31.743872,31.659899,31.610428,31.065357,30.856394
Run_19,98.503815,52.30808,45.377213,41.7532,38.88669,37.4757,36.289562,36.028393,35.28227,34.368217,33.619274,33.164143,32.716225,32.549175,32.375942,32.11427,31.998634,31.77112,31.559544,31.183855,30.6689,30.586374,30.480278,30.226377,30.080074,29.965097,29.92174,29.92174,29.92174,29.92174,29.84759,29.595781,29.416868,29.24808,29.117256,29.040316,29.040316,29.040316,28.778118,28.696194
Run_20,100.53263,53.566517,47.105694,43.11037,40.907158,40.074806,37.94339,36.940495,36.026882,35.07396,34.130085,33.647186,32.959053,32.375443,31.806406,31.68019,31.582071,31.275343,31.070389,31.056019,30.84707,30.772589,30.545702,30.243458,29.800737,29.44589,29.271542,29.261549,29.261549,29.048283,28.923645,28.832516,28.739277,28.701956,28.701956,28.584867,28.501194,28.501194,28.501194,28.501194
