Generation,Mean_RMSE,Std_Dev,Best_RMSE
0,99.09433333333331,1.292554791445566,95.96
50,53.00833333333333,1.492885535539219,50.8
100,45.759666666666675,1.2570586921681717,43.2
150,42.56333333333334,1.4661453619004579,39.69
200,40.628333333333345,1.5694608062077315,37.29
250,39.63966666666668,1.4090220801045745,36.43
300,38.83766666666667,1.3290264189331311,36.19
350,38.009666666666675,1.3903392471703528,35.15
400,37.31333333333334,1.530392832648605,33.59
450,36.70433333333333,1.5267431203563868,33.07
500,36.18466666666666,1.5406161826432374,32.66
550,35.70633333333333,1.5037718872518155,32.17
600,35.27633333333333,1.5731719196861134,31.55
650,34.90866666666667,1.6236784027496198,31.22
700,34.574666666666666,1.7219402493182576,30.79
750,34.29066666666667,1.7340836837425766,30.46
800,33.971000000000004,1.7531597189075498,30.21
850,33.67566666666666,1.7762351258271583,29.89
900,33.510000000000005,1.765138332633829,29.8
950,33.205000000000005,1.7444784320822078,29.47
1000,32.964999999999996,1.7067351874265673,29.32
1050,32.861000000000004,1.7398301641252225,29.17
1100,32.68,1.7947088900431734,28.87
1150,32.54366666666666,1.8274143542782584,28.67
1200,32.38699999999999,1.8359196605516266,28.55
1250,32.26466666666667,1.8444361981074024,28.43
1300,32.163000000000004,1.8336123727040388,28.38
1350,32.045,1.7892172403968543,28.3
1400,31.901333333333334,1.7888371145026651,28.12
1450,31.853999999999996,1.7891610697009184,28.08
1500,31.669000000000004,1.6887181529195447,27.8
1550,31.579000000000008,1.7044790993145091,27.89
1600,31.530999999999995,1.7065234640441755,27.91
1650,31.363666666666667,1.631511535015578,27.78
1700,31.329000000000004,1.6437727945187561,27.81
1750,31.238333333333337,1.6807004161625259,27.6
1800,31.217333333333332,1.6580670137911262,27.69
1850,31.093,1.6537193433792405,27.69
1900,31.020000000000003,1.6095941517455052,27.61
1950,30.877000000000006,1.6203480078880168,27.58
